Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
05814daf-af63-431d-9621-837478afc175,2019-09-21 16:16:04,Running,,10.28,52:14,5:05,11.81,809.0,141,,"","",2019-09-21-161604.gpx
e3fc84c3-96ff-4afd-a07e-867e5b31ee7b,2019-09-18 19:47:49,Running,,1.75,8:44,5:00,12.02,131.0,3,,"","",2019-09-18-194749.gpx
6858cea7-4b2a-403d-aa1e-77dae6375a43,2019-09-15 14:38:40,Running,,2.79,19:08,6:52,8.74,213.0,65,,"","",2019-09-15-143840.gpx
e5aa5cca-b6c1-41ed-8a51-865beb9de8f0,2019-09-12 19:54:13,Running,,1.32,6:19,4:47,12.54,99.0,3,,"","",2019-09-12-195413.gpx
34b8d456-3868-4808-a0bd-697a34c13ed2,2019-09-08 12:00:20,Running,,9.82,53:43,5:28,10.97,760.0,91,,"","",2019-09-08-120020.gpx
be58b5ad-fd55-4389-b446-8e228ada7d6b,2019-09-02 15:38:34,Running,,2.72,15:45,5:48,10.35,214.0,35,,"","",2019-09-02-153834.gpx
04f1aad9-1762-4779-9543-7b52182ce934,2019-08-31 18:17:48,Running,,6.57,40:11,6:07,9.81,518.0,90,,"","",2019-08-31-181748.gpx
94ce4777-57c0-443d-ad5d-35dbc1db9dc4,2019-08-26 20:37:30,Running,,3.29,17:46,5:24,11.10,247.0,15,,"","",2019-08-26-203730.gpx
88ce39cf-e7b1-495b-8f33-24cb49f43071,2019-08-21 19:47:29,Running,,5.10,30:06,5:54,10.17,399.0,61,,"","",2019-08-21-194729.gpx
b07b73d2-6d1f-4ac7-8063-c8a98124dccb,2019-08-19 15:57:34,Running,,4.07,22:40,5:34,10.76,323.0,58,,"","",2019-08-19-155734.gpx
86076c11-0140-44d5-af49-6ceb441756e0,2019-08-15 20:23:52,Running,,6.52,39:34,6:04,9.89,514.0,90,,"","",2019-08-15-202352.gpx
b3b735a6-7fb6-402b-99a4-03a6d1394254,2019-08-12 19:40:19,Running,,6.53,38:34,5:54,10.17,518.0,88,,"","",2019-08-12-194019.gpx
41367d8c-1546-483b-ae26-bd176949d98b,2019-08-08 19:21:40,Running,,6.53,41:21,6:20,9.48,514.0,89,,"","",2019-08-08-192140.gpx
31265984-c103-42f0-8ae4-2de31c14be4a,2019-08-05 17:01:35,Running,,6.56,40:56,6:15,9.61,519.0,90,,"","",2019-08-05-170135.gpx
fbcc4f1f-7a1a-4f04-9246-94a0dcb046ec,2019-08-03 18:44:54,Running,,1.45,8:27,5:48,10.33,115.0,21,,"","",2019-08-03-184454.gpx
862025b0-4e62-41aa-829e-bbb15b289a4c,2019-07-31 19:21:11,Running,,3.21,19:03,5:56,10.11,252.0,46,,"","",2019-07-31-192111.gpx
7176e49c-50cc-4266-9ecc-cf1fbbb82a55,2019-07-25 19:31:46,Running,,1.29,9:17,7:11,8.36,97.0,14,,"","",2019-07-25-193146.gpx
7392eb42-22c9-426c-ba73-4dd48233a080,2019-07-23 19:05:21,Running,,3.72,22:25,6:02,9.95,288.0,39,,"","",2019-07-23-190521.gpx
be429236-e79c-4465-8aab-04b3ef32d043,2019-07-21 14:21:55,Running,,5.15,30:17,5:53,10.20,403.0,61,,"","",2019-07-21-142155.gpx
858def6d-f8cf-4da3-ac93-02b56b7a4a53,2019-07-16 17:46:31,Running,,6.48,37:50,5:50,10.28,514.0,86,,"","",2019-07-16-174631.gpx
76e58896-880f-4dc8-8f09-b28efbf67369,2019-07-09 14:57:36,Running,,3.88,23:10,5:59,10.04,303.0,54,,"","",2019-07-09-145736.gpx
1c31627c-3a5f-4df6-908b-7c9d6c81e1fc,2019-07-07 15:42:25,Running,,0.46,4:00,8:36,6.97,42.0,37,,"","",2019-07-07-154225.gpx
d8129c86-0a63-4ddc-830c-cc431f965236,2019-06-30 16:49:52,Running,,3.24,19:13,5:56,10.11,255.0,47,,"","",2019-06-30-164952.gpx
d7d8f76f-e1dc-4d9f-9aac-9b521deb3a4c,2019-06-16 15:26:40,Running,,3.27,18:59,5:48,10.33,258.0,46,,"","",2019-06-16-152640.gpx
985d666a-a277-471a-9096-90b2d532c326,2019-06-09 13:37:20,Running,,3.20,18:26,5:46,10.42,252.0,45,,"","",2019-06-09-133720.gpx
a3f3af49-6989-4bbe-8334-df2949c02fd8,2019-06-02 13:07:55,Running,,6.55,41:19,6:18,9.51,516.0,90,,"","",2019-06-02-130755.gpx
ae487d97-5493-4c22-b34e-173a0f792098,2019-05-29 17:59:48,Running,,5.45,35:00,6:25,9.35,423.0,64,,"","",2019-05-29-175948.gpx
2c2aff55-0678-405d-af18-3aa02fa5f8e6,2019-05-26 17:09:26,Running,,3.24,19:38,6:03,9.91,255.0,47,,"","",2019-05-26-170926.gpx
13fb989b-62e4-4081-ac81-97856939eb76,2019-05-21 18:07:17,Running,,3.19,19:57,6:15,9.59,251.0,45,,"","",2019-05-21-180717.gpx
44059836-0ed9-46a7-bfc7-0c46f2cad08a,2019-05-19 17:04:42,Running,,3.22,19:43,6:07,9.80,252.0,46,,"","",2019-05-19-170442.gpx
b776629d-37f2-4fcc-b715-4a876ea1ac76,2019-05-08 19:27:39,Running,,4.02,25:06,6:14,9.61,314.0,62,,"","",2019-05-08-192739.gpx
7ee11c33-56f8-49f8-b2d1-3e46c252f498,2019-05-05 14:28:45,Running,,4.27,25:44,6:02,9.96,342.0,88,,"","",2019-05-05-142845.gpx
62bffe45-bc9f-43f7-8b11-8e71a60c7e50,2019-05-02 19:16:32,Running,,3.64,21:38,5:57,10.09,279.0,19,,"","",2019-05-02-191632.gpx
63e21b56-1cc2-4e08-8515-19fcb0e2acee,2019-04-27 16:19:26,Running,,10.03,55:52,5:34,10.77,801.0,153,,"","",2019-04-27-161926.gpx
0b4a8f38-0476-4519-908a-59e815b37556,2019-04-24 18:20:59,Running,,3.51,19:57,5:41,10.54,270.0,20,,"","",2019-04-24-182059.gpx
7e28f57f-7dfc-49af-9a48-4a5bc4cf071a,2019-04-22 12:57:09,Running,,3.74,22:03,5:54,10.17,291.0,41,,"","",2019-04-22-125709.gpx
1017af9f-1b1a-47e4-9ea9-b37ea92d10bc,2019-04-16 18:18:21,Running,,3.66,21:11,5:48,10.36,280.0,20,,"","",2019-04-16-181821.gpx
a0d8e2bb-9589-47c3-ad90-2d49919a9163,2019-04-14 13:32:10,Running,,3.65,21:51,5:59,10.02,281.0,20,,"","",2019-04-14-133210.gpx
0d869ef4-f398-4e2e-945a-d991992bc831,2019-04-08 19:46:33,Running,,3.08,18:01,5:51,10.24,234.0,12,,"","",2019-04-08-194633.gpx
fd09a8b4-1a67-45ae-9b52-9cf22409789d,2019-04-06 17:04:04,Running,,3.95,23:48,6:02,9.95,303.0,23,,"","",2019-04-06-170404.gpx
0846a337-e7d6-4edd-a005-83dd1e9dccf6,2019-03-30 14:34:51,Running,,1.23,8:17,6:44,8.91,101.0,25,,"","",2019-03-30-143451.gpx
22c7c0bd-0b58-4c1a-9366-12c843c6245d,2019-03-30 14:19:47,Running,,1.77,10:54,6:09,9.75,141.0,33,,"","",2019-03-30-141947.gpx
11c47b41-c153-4f38-9aae-beb8947aa263,2019-02-03 13:20:10,Cross-Country Skiing,,11.72,1:35:47,8:10,7.34,961.0,180,,"","",2019-02-03-132010.gpx
882af158-85a4-43d4-88af-2a2651bd3b37,2019-01-19 14:13:43,Cross-Country Skiing,,7.29,55:29,7:36,7.89,587.0,158,,"","",2019-01-19-141343.gpx
df0b9a31-4b32-46b9-8633-b3b365249277,2018-12-18 14:16:28,Cross-Country Skiing,,7.01,1:00:26,8:38,6.96,608.0,146,,"","",2018-12-18-141628.gpx
